doc_id,title,l1
DF0865,"（一）强化战略统筹引领
",战略规划与政策治理
DF0865,1.加强规划顶层设计。,战略规划与政策治理
DF0865,2.推动区域机场合作。,战略规划与政策治理
DF0865,"（二）加强空地资源保障
",基础设施与保障体系
DF0865,3.加快机场货运重大项目建设。,基础设施与保障体系
DF0865,4.提高航线网络全球通达性。,基础设施与保障体系
DF0865,5.完善机场地区交通集疏运体系。,基础设施与保障体系
DF0865,"（三）集聚优质市场主体
",市场主体与服务网络
DF0865,6.支持多元市场主体在沪发展。,市场主体与服务网络
DF0865,7.鼓励市场主体加强货运能力建设。,市场主体与服务网络
DF0865,"（四）拓展增量市场业务
",市场主体与服务网络
DF0865,8.大力发展货运中转业务。,市场主体与服务网络
DF0865,9.拓展航空货运细分领域。,市场主体与服务网络
DF0865,10.推动多式联运发展。,市场主体与服务网络
DF0865,"（五）营造宜商宜业环境
",战略规划与政策治理
DF0865,11.促进信息资源互联共享。,战略规划与政策治理
DF0865,12.优化简化货物安检流程。,战略规划与政策治理
DF0865,13.提升口岸通关便利化水平。,战略规划与政策治理
DF0865,"（六）推动区港联动发展
",创新、融合与可持续发展
DF0865,14.加强浦东国际机场与周边区域联动。,创新、融合与可持续发展
DF0865,15.加强与重点产业园区对接。,创新、融合与可持续发展
DF0865,16.促进航空货运相关产业发展。,创新、融合与可持续发展
DF0865,"（七）提高智慧韧性水平
",创新、融合与可持续发展
DF0865,17.提升航空货运智慧化水平。,创新、融合与可持续发展
DF0865,18.提升航空货运安全韧性水平。,创新、融合与可持续发展
DF0865,19.推动航空货运绿色低碳发展。,创新、融合与可持续发展
DF0865,"（八）加强政策协同创新
",战略规划与政策治理
DF0865,20.争取民航、海关等国家政策支持。,战略规划与政策治理
DF0865,"21.给予财政、土地、人才等地方政策支持。研究制订新一轮航 空枢纽建设专项扶持办法，加强对航空货运发展方面的支持。严格 落实集约节约用地原则，整合盘活低效闲置土地资源，强化对航空 货运枢纽建设项目用地支持。加强航空货运人才队伍建设，鼓励科 研机构搭建研究平台，发挥决策咨询和智囊作用。（责任单位：市 发展改革委、市财政局、市规划资源局、市交通委，机场集团)
",战略规划与政策治理
ZY0005,"三、打造优质高效的服务体系
",市场主体与服务网络
ZY0005,"（一）培育优质市场主体
",市场主体与服务网络
ZY0005, 引导企业多样化发展，打造细分赛道龙头企业。,市场主体与服务网络
ZY0005,打造全链条航空物流企业。,市场主体与服务网络
ZY0005,"（二）优化航空物流网络
",市场主体与服务网络
ZY0005,推动国内物流网络畅通高效。,市场主体与服务网络
ZY0005,推动国际航空物流网络自主可控。,市场主体与服务网络
ZY0005,"（三）提升市场服务能力
",市场主体与服务网络
ZY0005,推动消费物流扩容提质。,市场主体与服务网络
ZY0005,强化制造业供应链支撑作用。,市场主体与服务网络
ZY0005,"（四）延伸拓展服务领域
",市场主体与服务网络
ZY0005,提升应急保障能力。,市场主体与服务网络
ZY0005,创新产品体系。,市场主体与服务网络
ZY0005,"四、建设先进完备的保障体系
",基础设施与保障体系
ZY0005,"（一）优化枢纽布局
",基础设施与保障体系
ZY0005,增强综合性枢纽物流服务功能。,基础设施与保障体系
ZY0005,推进专业性货运枢纽机场建设。,基础设施与保障体系
ZY0005,"（二）完善基础设施
",基础设施与保障体系
ZY0005,整合优化存量设施。,基础设施与保障体系
ZY0005,加快新增设施建设。,基础设施与保障体系
ZY0005,加强机场内外设施的协同联动。,基础设施与保障体系
ZY0005,推动基础设施绿色升级。,基础设施与保障体系
ZY0005,"（三）建设智慧货运
",创新、融合与可持续发展
ZY0005,加快现代化技术装备研发。,创新、融合与可持续发展
ZY0005,推广应用智能设施。,创新、融合与可持续发展
ZY0005,推广货运电子化。,创新、融合与可持续发展
ZY0005,促进物流信息互联互通。,创新、融合与可持续发展
ZY0005,"（四）完善集疏运体系
",创新、融合与可持续发展
ZY0005,实施枢纽机场集疏运系统改造。,创新、融合与可持续发展
ZY0005,提高一体化转运能力。,创新、融合与可持续发展
ZY0005,"五、构建精准协同的治理体系
",战略规划与政策治理
ZY0005,"（一）完善规章标准
",战略规划与政策治理
ZY0005,完善航空物流基础规章。,战略规划与政策治理
ZY0005,加强安保规章标准建设。,战略规划与政策治理
ZY0005,完善特种货物运输管理。,战略规划与政策治理
ZY0005,支持无人机物流探索。,战略规划与政策治理
ZY0005,建设智慧物流标准体系。,战略规划与政策治理
ZY0005,加强国际法规标准研究。,战略规划与政策治理
ZY0005,"（二）优化资源配置
",战略规划与政策治理
ZY0005,推进货运航权自由化安排。,战略规划与政策治理
ZY0005,优化航线航班管理。,战略规划与政策治理
ZY0005,完善航班时刻配置。,战略规划与政策治理
ZY0005,提升机队保障能力。,战略规划与政策治理
ZY0005,强化财经政策引导。,战略规划与政策治理
ZY0005,完善航空货运发展政策。,战略规划与政策治理
ZY0005,"（三）加强协同治理
",战略规划与政策治理
ZY0005,提升军民融合治理效能。,战略规划与政策治理
ZY0005,推动多式联运协同治理。,战略规划与政策治理
ZY0005,推动通关环境优化。,战略规划与政策治理
ZY0005,强化产业协同治理。,战略规划与政策治理
ZY0005,优化央地联合治理。,战略规划与政策治理
ZY0005,完善航空物流数据治理。,战略规划与政策治理
ZY0005,"（四）创新治理手段
",战略规划与政策治理
ZY0005,推进示范工程。,战略规划与政策治理
ZY0005,加强监测分析。,战略规划与政策治理
ZY0005,创新社会治理。,战略规划与政策治理
ZY0005,加强行业自律。,战略规划与政策治理
ZY0005,加强信用监管。,战略规划与政策治理
