node_id,level,label,provenance,size,confidence,human_label,human_action,human_notes,locked,l1_category
L3_N48dcd88a,L3,助力基地航空公司发展,seed-existing,1,1.0,助力基地航空公司发展,keep,,False,L1_N32b4d1be
L3_N9815851a,L3,大力培育适航产业,seed-existing,1,1.0,大力培育适航产业,keep,,False,L1_N32b4d1be
L3_Nbccd8d12,L3,增加机场高峰小时容量,seed-existing,1,1.0,增加机场高峰小时容量,keep,,False,L1_N32b4d1be
L3_N8b934feb,L3,优化客货运航线网络,seed-existing,1,1.0,优化客货运航线网络,keep,,False,L1_N32b4d1be
L3_Na4101ee7,L3,加强货运设施建设,seed-existing,1,1.0,加强货运设施建设,keep,,False,L1_N32b4d1be
L3_N2123971e,L3,完善货运功能配套,seed-existing,1,1.0,完善货运功能配套,keep,,False,L1_N32b4d1be
L3_Nb0e7dd4f,L3,加快数字基建建设,seed-existing,1,1.0,加快数字基建建设,keep,,False,L1_N32b4d1be
L3_N4217ca37,L3,充分遵循航空货运发展规律,seed-existing,1,1.0,充分遵循航空货运发展规律,keep,,False,L1_N32b4d1be
L3_N9a4920b0,L3,符合民用运输机场布局规划,seed-existing,1,1.0,符合民用运输机场布局规划,keep,,False,L1_N32b4d1be
L3_N2e5f08e0,L3,引入专业化航空运输企业,seed-existing,1,1.0,引入专业化航空运输企业,keep,,False,L1_N32b4d1be
L3_N47efd62f,L3,具备良好的发展条件,seed-existing,1,1.0,具备良好的发展条件,keep,,False,L1_N32b4d1be
L3_Ndfa51e03,L3,完善飞机引进政策,seed-existing,1,1.0,完善飞机引进政策,keep,,False,L1_N32b4d1be
L3_N8aec14d5,L3,持续改善空域条件,seed-existing,1,1.0,持续改善空域条件,keep,,False,L1_N32b4d1be
L3_Nde73eebf,L3,培育航空货运企业,seed-existing,1,1.0,培育航空货运企业,keep,,False,L1_N32b4d1be
L3_Ne477efa0,L3,提升机场管理水平,seed-existing,1,1.0,提升机场管理水平,keep,,False,L1_N32b4d1be
L3_Na1b5b8e4,L3,加快国际航空物流中心载体建设,seed-existing,1,1.0,加快国际航空物流中心载体建设,keep,,False,L1_N47d528f3
L3_Nd3c80123,L3,加快实施货运通道建设,seed-existing,1,1.0,加快实施货运通道建设,keep,,False,L1_N47d528f3
L3_N82cdf37d,L3,做大空空中转业务,seed-existing,1,1.0,做大空空中转业务,keep,,False,L1_N47d528f3
L3_Nc92a3618,L3,做实空地联运业务,seed-existing,1,1.0,做实空地联运业务,keep,,False,L1_N47d528f3
L3_Nf3b017a0,L3,完善国际货运航线,seed-existing,1,1.0,完善国际货运航线,keep,,False,L1_N47d528f3
L3_N198ad664,L3,积极打造中转航线,seed-existing,1,1.0,积极打造中转航线,keep,,False,L1_N47d528f3
L3_Nc97533ee,L3,引进航司提升运力,seed-existing,1,1.0,引进航司提升运力,keep,,False,L1_N47d528f3
L3_N0f65b0c3,L3,丰富货运参与主体,seed-existing,1,1.0,丰富货运参与主体,keep,,False,L1_N47d528f3
L3_N65606e29,L3,强化陆运集货网络,seed-existing,1,1.0,强化陆运集货网络,keep,,False,L1_N47d528f3
L3_Nd290d812,L3,探索开展多式联运,seed-existing,1,1.0,探索开展多式联运,keep,,False,L1_N47d528f3
L3_Nf2262c1d,L3,提高综合性机场现有货运设施能力,seed-existing,1,1.0,提高综合性机场现有货运设施能力,keep,,False,L1_N47d528f3
L3_N43f95e79,L3,提高综合性机场现有货运设施利用率,seed-existing,1,1.0,提高综合性机场现有货运设施利用率,keep,,False,L1_N47d528f3
L3_Nff8b1407,L3,优化机场货物运输组织,seed-existing,1,1.0,优化机场货物运输组织,keep,,False,L1_N47d528f3
L3_N56344298,L3,提升机场货运服务品质,seed-existing,1,1.0,提升机场货运服务品质,keep,,False,L1_N47d528f3
L3_N6207c89d,L3,强化机场内外设施的协同联动,seed-existing,1,1.0,强化机场内外设施的协同联动,keep,,False,L1_N47d528f3
L3_N97559905,L3,延伸航空物流链条,seed-existing,1,1.0,延伸航空物流链条,keep,,False,L1_N52f6895e
L3_Nc3d125b3,L3,加强港区高效联动,seed-existing,1,1.0,加强港区高效联动,keep,,False,L1_N52f6895e
L3_N8283673b,L3,丰富航空口岸功能,seed-existing,1,1.0,丰富航空口岸功能,keep,,False,L1_N9adcfb9c
L3_Nce212504,L3,提升口岸通关便利化,seed-existing,1,1.0,提升口岸通关便利化,keep,,False,L1_N9adcfb9c
L3_Neafdb444,L3,建立工作协调机制,seed-existing,1,1.0,建立工作协调机制,keep,,False,L1_Nd2e7e4e3
L3_N60701309,L3,出台综合支持政策,seed-existing,1,1.0,出台综合支持政策,keep,,False,L1_Nd2e7e4e3
L3_N09522c48,L3,推进智慧平台建设,seed-existing,1,1.0,推进智慧平台建设,keep,,False,L1_Ne2bd7697
L3_Nfc162f8c,L3,加强新兴技术应用,seed-existing,1,1.0,加强新兴技术应用,keep,,False,L1_Ne2bd7697
L3_N70eeee1d,L3,提升运营管理能力,seed-existing,1,1.0,提升运营管理能力,keep,,False,L1_Ne2bd7697
