leaf_id,path_ids,path_labels
L4_Naf94a663,L1_N52f6895e/L2_Nc3d125b3/L3_Nc3d125b3/L4_Naf94a663,区域协同与产业联动/港区协同联动/加强港区高效联动/推动区港联动
L4_Nd3a9b4af,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_Nd3a9b4af,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/与快递企业深度合作
L4_Nf3f8f8c3,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_Nf3f8f8c3,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/实现门到门服务
L4_N0188902d,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_N0188902d,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/建设跨境产业园
L4_N832c0c49,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_N832c0c49,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/打造中国东盟跨境电商综合服务平台
L4_N3494c85c,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_N3494c85c,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/提供简单加工等服务
L4_N04e09dc2,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_N04e09dc2,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/成为东盟跨境电商的核心服务商
L4_N198738ba,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_N198738ba,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/打造生鲜集散中心
L4_N3fa16235,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_N3fa16235,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/打造生鲜加工中心
L4_N32b417e2,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_N32b417e2,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/打造生鲜交易中心
