node_id,level,label,keywords,definition,provenance,size,confidence,human_label,human_action,human_notes,locked,is_new
L1_N762e6689,L1,战略规划与治理,"战略统筹,政策协同,规章标准,治理体系,顶层设计",聚焦航空物流发展的顶层制度设计、跨部门协同与法规标准建设；不含具体基础设施或市场主体操作。,step2_8,0,1.0,战略规划与治理,keep,,False,False
L1_N6e836104,L1,基础设施与枢纽,"货运枢纽,机场建设,集疏运,设施升级,空地资源",涵盖机场货运设施、枢纽布局及内外部交通衔接的硬件能力建设；不含运营服务或企业培育。,step2_8,0,1.0,基础设施与枢纽,keep,,False,False
L1_N70e79b29,L1,市场主体与网络,"市场主体,货运能力建设,物流网络,多式联运,细分领域",围绕企业引育、能力提升与国内外物流网络构建的政策工具；不含基础设施投资或智慧化技术部署。,step2_8,0,1.0,市场主体与网络,keep,,False,False
L1_N6be998d8,L1,通关与口岸效能,"通关便利化,货物安检,口岸流程,查验优化",针对口岸作业效率与跨境流程简化的专项措施；不包含航线审批或航权配置。,step2_8,0,1.0,通关与口岸效能,keep,,False,False
L1_N6bbea948,L1,智慧绿色转型,"智慧货运,绿色低碳,智能装备,电子化,安全韧性",推动数字化、智能化与可持续发展的技术应用与能力建设；不含传统基建或财政补贴。,step2_8,0,1.0,智慧绿色转型,keep,,False,False
L1_N52f6895e,L1,区域协同与产业联动,"区港联动,产业园区,航空货运产业,区域合作",促进机场与周边区域、重点产业深度融合的协同发展机制；不含单一企业招商或独立基建项目。,step2_8,0,1.0,区域协同与产业联动,keep,,False,False
L1_N604d4c42,L1,资源与要素保障,"财政支持,土地保障,人才建设,航权安排,用地整合",提供土地、资金、人才、航权等关键要素支撑的配套政策；不直接干预市场运营或设施建设。,step2_8,0,1.0,资源与要素保障,keep,,False,False
L1_N977ed730,L1,营商环境优化,"宜商宜业,营商环境,政务服务,制度环境",现有 L1 均聚焦具体领域（如枢纽、通关、产业联动等），而‘营造宜商宜业环境’属综合性营商环境主题，未被覆盖,link_t2_l1,1,0.65,营商环境优化,review,现有 L1 均聚焦具体领域（如枢纽、通关、产业联动等），而‘营造宜商宜业环境’属综合性营商环境主题，未被覆盖,False,True
L1_N21391b6c,L1,产业生态拓展,"延伸产业,业态丰富,产业链延伸",L2 标签过于宽泛且样本单一，无法准确对应任一现有 L1；'延伸产业丰富业态'更偏向产业生态拓展，但候选 L1 均聚焦具体功能领域（如枢纽、通关、协同等），语义覆盖不足,link_t2_l1,1,0.6,产业生态拓展,review,L2 标签过于宽泛且样本单一，无法准确对应任一现有 L1；'延伸产业丰富业态'更偏向产业生态拓展，但候选 L1 均聚焦具体功能领域（如枢纽、通关、协同等），语义覆盖不足,False,True
L1_Nc7535a4f,L1,基础能力支撑,"基础能力,综合保障,能力建设",L2 标题过于宽泛且样本重复，无法明确指向任一候选 L1；现有 L1 虽有‘保障’相关关键词，但语义聚焦具体要素（如土地、人才、航权），而‘基础能力保障’缺乏实质内容支撑，若保留该 L2 需更清晰定义，建议新建更具操作性的 L1 或合并至更明确类别。,link_t2_l1,2,0.65,基础能力支撑,review,L2 标题过于宽泛且样本重复，无法明确指向任一候选 L1；现有 L1 虽有‘保障’相关关键词，但语义聚焦具体要素（如土地、人才、航权），而‘基础能力保障’缺乏实质内容支撑，若保留该 L2 需更清晰定义，建议新建更具操作性的 L1 或合并至更明确类别。,False,True
L1_N07a80a4d,L1,多元经营主体培育,"经营主体,多元主体,企业培育,市场主体发展",现有 L1 中‘市场主体与网络’虽包含‘市场主体’关键词，但其聚焦物流与货运能力建设，与‘多元经营主体’的广泛培育目标（如农业、服务业、小微企业等）不匹配；其余 L1 更无相关性。该 L2 表达的是对多样化市场主体的系统性扶持，需独立归类。,link_t2_l1,1,0.65,多元经营主体培育,review,现有 L1 中‘市场主体与网络’虽包含‘市场主体’关键词，但其聚焦物流与货运能力建设，与‘多元经营主体’的广泛培育目标（如农业、服务业、小微企业等）不匹配；其余 L1 更无相关性。该 L2 表达的是对多样化市场主体的系统性扶持，需独立归类。,False,True
L1_N39371e6b,L1,增量市场拓展,"增量市场,业务拓展,市场开拓",现有 L1 均未准确覆盖‘拓展增量市场业务’这一战略导向型商业行为，语义匹配度低且支持样本仅来自关键词表面重合,link_t2_l1,2,0.65,增量市场拓展,review,现有 L1 均未准确覆盖‘拓展增量市场业务’这一战略导向型商业行为，语义匹配度低且支持样本仅来自关键词表面重合,False,True
L1_N55ba89a6,L1,服务管理优化,"服务管理,流程优化,效能提升",样本内容过于泛化且重复，无法明确归属现有L1；'提升服务管理水平'属于通用管理表述，未体现具体领域特征，现有L1均聚焦特定业务维度（如智慧货运、口岸效能等），语义覆盖不足,link_t2_l1,2,0.6,服务管理优化,review,样本内容过于泛化且重复，无法明确归属现有L1；'提升服务管理水平'属于通用管理表述，未体现具体领域特征，现有L1均聚焦特定业务维度（如智慧货运、口岸效能等），语义覆盖不足,False,True
L1_N906f0fb9,L1,战略引资与资本合作,"战略投资,引资,股权合作,资本引入",引入战略投资属于资本运作或企业引资行为，现有 L1 均聚焦政策、设施、治理或资源保障，未覆盖投融资或股权引入主题,link_t2_l1,1,0.72,战略引资与资本合作,review,引入战略投资属于资本运作或企业引资行为，现有 L1 均聚焦政策、设施、治理或资源保障，未覆盖投融资或股权引入主题,False,True
L1_N5d2e3c44,L1,数字基础设施,"数字基建,算力网络,信息基础设施",现有 L1 主要聚焦交通物流、口岸或治理类基础设施，未覆盖‘数字基础设施’这一新型基础设施主题,link_t2_l1,1,0.72,数字基础设施,review,现有 L1 主要聚焦交通物流、口岸或治理类基础设施，未覆盖‘数字基础设施’这一新型基础设施主题,False,True
L1_N00e94186,L1,跨境物流服务,"跨境物流,国际货运,电商物流",现有 L1 中无明确覆盖跨境物流或国际货运服务的类别；'基础能力支撑'和'服务管理优化'语义较泛，无法精准涵盖跨境物流特性,link_t2_l1,1,0.72,跨境物流服务,review,现有 L1 中无明确覆盖跨境物流或国际货运服务的类别；'基础能力支撑'和'服务管理优化'语义较泛，无法精准涵盖跨境物流特性,False,True
